id,game_gamer_id,bulls,cows,sequence
1,1,1,1,5041
2,1,1,0,8346
3,1,4,0,9542
4,2,1,2,5912
5,2,2,0,0642
6,2,2,0,3842
7,2,3,0,9742
8,2,3,0,9142
9,2,4,0,9542
10,3,0,1,3157
11,3,0,3,2985
12,3,1,0,1348
13,3,1,1,7946
14,3,2,0,8541
15,3,2,0,6543
16,3,2,1,8549
17,3,2,0,6540
18,3,2,0,1543
19,3,2,0,6547
20,3,2,1,2548
21,3,3,0,7542
22,3,4,0,9542
23,4,0,1,5017
24,4,1,2,3594
25,4,1,0,0581
26,4,2,1,3549
27,4,2,1,2540
28,4,3,0,3542
29,4,3,0,7542
30,4,3,0,1542
31,4,3,0,6542
32,4,3,0,0542
33,4,3,0,3542
34,4,3,0,8542
35,4,3,0,0542
36,4,3,0,3542
37,4,3,0,8542
38,4,4,0,9542
39,5,0,2,4769
40,5,0,1,3820
41,5,1,1,9653
42,5,1,1,9184
43,5,1,1,9057
44,5,1,0,9316
45,5,2,0,9583
46,5,2,0,9501
47,5,2,1,9574
48,5,2,0,9568
49,5,2,1,9514
50,5,2,0,9568
51,5,2,1,9574
52,5,2,0,9530
53,5,2,0,9583
54,5,2,0,9571
55,5,2,1,9520
56,5,3,0,9562
57,5,3,0,9512
58,5,3,0,9532
59,6,1,1,4561
60,6,3,0,2579
61,6,3,0,2578
62,6,3,0,2576
63,6,3,0,2573
64,6,4,0,2574
65,7,0,3,4657
66,7,1,1,2365
67,7,1,1,2403
68,7,1,0,2689
69,7,2,1,2470
70,7,2,0,2376
71,7,2,0,2879
72,7,2,0,2671
73,7,2,0,2970
74,7,2,0,2371
75,7,2,0,2678
76,7,2,1,2479
77,7,2,0,2376
78,7,2,0,2170
79,7,2,0,2978
80,7,3,0,2571
81,7,3,0,2578
82,7,3,0,2579
83,7,3,0,2576
84,7,3,0,2573
85,8,0,1,8719
86,8,1,1,0471
87,8,1,0,9376
88,8,1,1,0471
89,8,2,0,2673
90,8,2,0,2170
91,8,3,0,2578
92,8,3,0,2570
93,8,3,0,2571
94,8,4,0,2574
95,9,2,0,8564
96,9,2,1,0524
97,9,3,0,3574
98,9,3,0,9574
99,9,4,0,2574
100,10,0,1,0197
101,10,1,0,2803
102,10,2,0,2678
103,10,2,0,2173
104,10,2,0,2079
105,10,3,0,2874
106,10,3,0,2174
107,10,3,0,2074
108,10,3,0,2674
109,10,3,0,2974
110,10,4,0,2574
111,11,0,2,6314
112,11,1,0,0931
113,11,1,1,2039
114,11,1,1,6735
115,11,1,1,4139
116,11,2,0,8436
117,11,2,0,9437
118,11,2,0,8436
119,11,2,0,1439
120,11,2,1,7435
121,11,2,0,1438
122,11,4,0,5432
123,12,0,2,7348
124,12,0,1,0615
125,12,0,2,3209
126,12,0,2,8527
127,12,2,1,1452
128,12,2,0,9412
129,12,2,0,7482
130,12,2,1,0452
131,12,2,0,8402
132,12,2,0,1482
133,12,2,1,3492
134,12,2,0,6412
135,12,3,0,7432
136,12,3,0,9432
137,12,3,0,8432
138,12,3,0,1432
139,12,3,0,7432
140,12,3,0,6432
141,12,3,0,0432
142,12,3,0,6432
143,13,1,2,3512
144,13,1,0,0692
145,13,1,1,1502
146,13,3,0,9432
147,13,3,0,7432
148,13,3,0,1432
149,13,3,0,6432
150,13,3,0,0432
151,13,3,0,7432
152,13,4,0,5432
153,14,0,1,8964
154,14,0,2,1256
155,14,0,1,8913
156,14,0,2,4627
157,14,0,1,1598
158,14,0,2,6214
159,14,0,1,7380
160,14,1,2,4135
161,14,1,0,6038
162,14,2,0,1430
163,14,3,0,8432
164,14,4,0,5432
165,15,0,1,0579
166,15,1,1,2037
167,15,2,0,1430
168,15,2,1,2439
169,15,2,0,7436
170,15,3,0,8432
171,15,3,0,9432
172,15,3,0,6432
173,15,3,0,1432
174,15,4,0,5432
175,16,0,1,5984
176,16,0,2,6318
177,16,0,0,2951
178,16,0,2,6025
179,16,0,0,9712
180,16,0,1,3851
181,16,0,1,6975
182,16,1,0,1687
183,16,1,1,0659
184,16,1,1,7642
185,16,2,0,8605
186,16,2,1,3602
187,16,2,0,9605
188,16,2,0,1608
189,16,4,0,4603
190,17,0,3,6350
191,17,1,1,1694
192,17,1,0,7658
193,17,1,0,1675
194,17,1,1,3617
195,17,1,1,9680
196,17,2,0,7653
197,17,2,1,0683
198,17,2,0,9653
199,17,2,0,8693
200,17,3,0,4623
201,17,3,0,4693
202,17,3,0,4673
203,17,3,0,4613
204,17,3,0,4653
205,17,4,0,4603
206,18,0,3,3760
207,18,0,2,9134
208,18,0,0,2798
209,18,1,2,5304
210,18,2,0,2601
211,18,2,1,7604
212,18,2,0,2601
213,18,4,0,4603
214,19,1,2,0483
215,19,1,0,2713
216,19,3,0,8603
217,19,3,0,7603
218,19,3,0,2603
219,19,3,0,9603
220,19,3,0,5603
221,19,3,0,1603
222,19,3,0,2603
223,19,3,0,7603
224,19,3,0,5603
225,19,3,0,2603
226,19,3,0,1603
227,19,3,0,7603
228,19,3,0,5603
229,19,3,0,2603
230,19,3,0,8603
231,19,3,0,1603
232,19,3,0,5603
233,19,4,0,4603
234,20,1,0,1893
235,20,3,0,4103
236,20,3,0,4203
237,20,3,0,4903
238,20,3,0,4803
239,20,3,0,4103
240,20,3,0,4503
241,20,4,0,4603
242,21,0,2,4198
243,21,0,2,3076
244,21,0,1,5298
245,21,0,1,0357
246,21,1,1,9135
247,21,2,0,9702
248,21,2,0,9305
249,21,2,1,9706
250,21,2,0,9502
251,21,3,0,9701
252,21,3,0,9201
253,21,3,0,9501
254,21,3,0,9201
255,21,3,0,9301
256,21,3,0,9501
257,21,3,0,9701
258,21,4,0,9601
259,22,0,2,5014
260,22,1,0,8305
261,22,1,2,6902
262,22,2,0,4607
263,22,2,1,2609
264,22,2,0,8603
265,22,2,1,1608
266,22,2,0,5604
267,22,2,0,2603
268,22,2,0,5607
269,22,2,1,1602
270,22,2,0,5604
271,22,2,0,7602
272,22,2,0,4603
273,22,3,0,9604
274,22,3,0,9607
275,22,3,0,9604
276,22,3,0,9602
277,22,4,0,9601
278,23,1,1,4902
279,23,1,1,7406
280,23,1,0,5204
281,23,2,0,9708
282,23,2,0,9405
283,23,2,0,9302
284,23,2,0,9403
285,23,2,1,9104
286,23,2,0,9308
287,23,2,1,9206
288,23,2,0,9807
289,23,2,0,9205
290,23,2,0,9807
291,23,2,0,9408
292,23,3,0,9602
293,23,3,0,9604
294,23,3,0,9605
295,23,3,0,9604
296,23,3,0,9602
297,23,3,0,9605
298,24,1,1,1507
299,24,1,0,8403
300,24,1,1,1208
301,24,1,1,4103
302,24,2,0,5801
303,24,3,0,3601
304,24,3,0,5601
305,24,3,0,7601
306,24,3,0,4601
307,24,4,0,9601
308,25,0,1,3514
309,25,1,1,2698
310,25,1,0,4625
311,25,2,0,3681
312,25,2,0,4671
313,25,2,0,2631
314,25,3,0,4601
315,25,3,0,3601
316,25,3,0,7601
317,25,3,0,3601
318,25,3,0,8601
319,25,3,0,3601
320,25,3,0,8601
321,25,3,0,7601
322,25,3,0,3601
323,25,3,0,4601
324,25,3,0,3601
325,25,3,0,5601
326,25,3,0,3601
327,25,3,0,7601
